customer_id,age,income,city,plan,tenure_months,monthly_spend,support_calls,churn,signup_date,signup_year,signup_month,signup_weekday,days_as_member,income_was_missing,income_capped
1,38.0,5000000.0,Kisumu,Basic,14,186.65,1,0,2023-09-13,2023,9,Wednesday,110,0,109551.28749999999
2,25.0,76695.05,Nakuru,Basic,46,76.83,1,0,2023-04-10,2023,4,Monday,266,0,76695.05
3,35.0,34209.54,Nairobi,Basic,29,37.36,1,1,2023-01-09,2023,1,Monday,357,0,34209.54
4,44.0,23126.82,Mombasa,Premium,25,23.34,0,0,2022-07-16,2022,7,Saturday,534,0,23126.82
5,18.0,11133.74,Nairobi,Basic,50,12.17,4,1,2022-08-13,2022,8,Saturday,506,0,11133.74
6,22.0,37356.13,Nairobi,Premium,29,46.12,1,0,2022-01-30,2022,1,Sunday,701,0,37356.13
7,36.0,164424.62,Nakuru,Basic,33,242.23,2,0,2022-02-24,2022,2,Thursday,676,0,109551.28749999999
8,32.0,60927.64,Mombasa,Standard,32,85.6,2,0,2022-01-13,2022,1,Thursday,718,0,60927.64
9,35.0,37057.05,Nakuru,Basic,19,32.48,1,1,2022-05-08,2022,5,Sunday,603,0,37057.05
10,26.0,61854.5,Nairobi,Premium,9,59.91,1,1,2023-08-17,2023,8,Thursday,137,0,61854.5
11,44.0,22460.66,Nairobi,Basic,59,20.7,0,1,2023-04-20,2023,4,Thursday,256,0,22460.66
12,43.0,42249.1,Mombasa,Basic,7,24.29,3,1,2023-10-29,2023,10,Sunday,64,0,42249.1
13,36.0,51520.69,Mombasa,Basic,24,44.09,0,1,2023-01-03,2023,1,Tuesday,363,0,51520.69
14,46.0,46955.22,Eldoret,Basic,48,77.55,1,0,2023-03-19,2023,3,Sunday,288,0,46955.22
15,40.0,72795.04,Nairobi,Basic,10,87.43,2,0,2023-12-10,2023,12,Sunday,22,0,72795.04
16,26.0,58239.7,Nakuru,Standard,47,59.2,0,0,2023-06-17,2023,6,Saturday,198,0,58239.7
17,39.0,68470.82,Nakuru,Premium,53,86.87,2,0,2023-04-07,2023,4,Friday,269,0,68470.82
18,25.0,34745.8,Mombasa,Standard,48,57.1,2,0,2023-02-01,2023,2,Wednesday,334,0,34745.8
19,44.0,76795.99,Nairobi,Standard,22,62.17,3,0,2023-02-13,2023,2,Monday,322,0,76795.99
20,35.0,110687.75,Mombasa,Basic,2,188.73,1,0,2023-11-14,2023,11,Tuesday,48,0,109551.28749999999
21,33.0,42928.494999999995,Nairobi,Premium,64,53.93,0,0,2022-07-22,2022,7,Friday,528,1,42928.494999999995
22,28.0,31449.93,Nakuru,Premium,24,38.62,0,0,2023-08-19,2023,8,Saturday,135,0,31449.93
23,47.0,95596.57,Mombasa,Basic,58,138.46,1,0,2023-05-05,2023,5,Friday,241,0,95596.57
24,33.0,44548.24,Eldoret,Premium,15,25.07,1,0,2022-01-02,2022,1,Sunday,729,0,44548.24
25,31.0,98904.57,Kisumu,Basic,12,183.64,2,1,2022-10-15,2022,10,Saturday,443,0,98904.57
26,31.0,39290.27,Mombasa,Premium,56,46.99,0,0,2023-09-18,2023,9,Monday,105,0,39290.27
27,40.0,101470.44,Kisumu,Premium,67,186.77,0,0,2023-02-09,2023,2,Thursday,326,0,101470.44
28,39.0,52351.87,Mombasa,Standard,62,85.69,1,0,2022-01-25,2022,1,Tuesday,706,0,52351.87
29,39.0,55776.86,Eldoret,Basic,54,26.02,2,0,2023-07-13,2023,7,Thursday,172,0,55776.86
30,39.0,107190.08,Nairobi,Standard,18,60.15,3,1,2023-06-17,2023,6,Saturday,198,0,107190.08
31,56.0,40909.38,Eldoret,Basic,65,55.73,1,0,2023-09-10,2023,9,Sunday,113,0,40909.38
32,31.0,30620.93,Nakuru,Standard,48,49.69,3,0,2022-05-09,2022,5,Monday,602,0,30620.93
33,30.0,39172.02,Nakuru,Basic,13,26.74,1,1,2022-03-07,2022,3,Monday,665,0,39172.02
34,27.0,61461.55,Mombasa,Standard,10,100.76,1,0,2023-09-23,2023,9,Saturday,100,0,61461.55
35,41.0,22406.82,Nakuru,Premium,62,33.11,1,0,2022-01-17,2022,1,Monday,714,0,22406.82
36,46.0,67422.59,Nairobi,Basic,20,84.97,1,0,2023-01-31,2023,1,Tuesday,335,0,67422.59
37,34.0,37444.47,Nakuru,Basic,55,39.28,1,0,2022-02-28,2022,2,Monday,672,0,37444.47
38,27.0,87021.14,Nairobi,Standard,10,51.54,2,0,2022-08-07,2022,8,Sunday,512,0,87021.14
39,27.0,14807.22,Nairobi,Basic,20,28.92,2,1,2022-12-18,2022,12,Sunday,379,0,14807.22
40,42.0,33081.09,Mombasa,Basic,21,33.43,0,0,2022-11-05,2022,11,Saturday,422,0,33081.09
41,42.0,21094.46,Nairobi,Basic,20,26.17,0,0,2022-10-22,2022,10,Saturday,436,0,21094.46
42,40.0,32431.49,Nairobi,Basic,48,29.45,0,0,2022-01-21,2022,1,Friday,710,0,32431.49
43,28.0,55483.06,Nakuru,Standard,65,78.21,2,0,2022-01-04,2022,1,Tuesday,727,0,55483.06
44,37.0,44818.97,Nairobi,Standard,65,46.65,1,0,2022-04-01,2022,4,Friday,640,0,44818.97
45,36.0,43187.71,Kisumu,Basic,53,37.54,2,0,2022-01-07,2022,1,Friday,724,0,43187.71
46,37.0,45270.35,Nairobi,Basic,15,67.3,0,0,2023-05-05,2023,5,Friday,241,0,45270.35
47,44.0,54268.22,Nakuru,Basic,69,69.07,2,0,2023-01-19,2023,1,Thursday,347,0,54268.22
48,37.0,29605.99,Nakuru,Basic,39,43.71,0,0,2023-04-18,2023,4,Tuesday,258,0,29605.99
49,42.0,69802.48,Mombasa,Standard,39,127.69,0,0,2022-07-07,2022,7,Thursday,543,0,69802.48
50,36.0,68277.32,Kisumu,Basic,50,132.79,3,0,2023-03-26,2023,3,Sunday,281,0,68277.32
51,38.0,59427.89,Eldoret,Standard,55,107.36,2,0,2023-07-12,2023,7,Wednesday,173,0,59427.89
52,41.0,64748.56,Nakuru,Premium,68,49.09,1,1,2022-10-08,2022,10,Saturday,450,0,64748.56
53,35.0,56852.13,Nairobi,Standard,42,69.84,2,0,2022-12-03,2022,12,Saturday,394,0,56852.13
54,32.0,135609.76,Mombasa,Standard,44,244.8,2,0,2023-12-29,2023,12,Friday,3,0,109551.28749999999
