size_sqft,bedrooms,age_years,dist_center_km,price
1701.0,4,18,2.1,387377.0
1506.0,2,21,8.01,334021.0
729.0,2,17,8.34,153041.0
1190.0,1,54,3.43,269103.0
1296.0,2,34,8.55,227354.0
1298.0,1,55,12.13,258689.0
1537.0,5,59,6.21,310506.0
2213.0,1,39,1.11,428732.0
1906.0,4,49,2.54,394017.0
1006.0,3,6,12.62,224859.0
1839.0,2,56,5.22,370619.0
1820.0,5,28,4.03,455619.0
1097.0,1,42,19.81,199175.0
1924.0,5,14,4.5,436567.0
1420.0,4,5,29.08,278936.0
795.0,4,53,9.8,161744.0
1728.0,5,26,17.23,338679.0
1608.0,3,8,4.78,335121.0
1386.0,2,39,14.69,243302.0
1481.0,1,3,2.73,327267.0
1140.0,5,27,3.16,251404.0
1805.0,3,42,10.96,352268.0
1478.0,5,43,1.15,391126.0
1583.0,2,27,3.82,359965.0
1679.0,5,22,9.61,366073.0
923.0,5,50,23.77,144856.0
1053.0,2,11,2.35,265169.0
400.0,3,4,15.33,59871.0
1782.0,4,9,6.09,433119.0
894.0,2,48,36.9,86469.0
1566.0,1,28,18.37,315196.0
1685.0,2,2,7.19,317048.0
1801.0,3,10,13.01,395130.0
898.0,1,1,0.5,221826.0
1467.0,2,48,16.5,247953.0
2335.0,5,27,3.01,480443.0
2357.0,1,4,12.27,464182.0
1994.0,1,13,7.25,408608.0
1669.0,3,36,3.57,400506.0
997.0,1,35,21.87,176135.0
1859.0,1,49,0.5,344129.0
1421.0,1,1,4.58,281139.0
1780.0,1,4,3.38,337880.0
1184.0,5,2,2.36,366199.0
1414.0,1,23,7.66,258599.0
1582.0,3,43,7.66,359411.0
1623.0,4,39,6.71,363965.0
1747.0,4,12,9.17,395584.0
1210.0,4,39,2.71,280859.0
828.0,2,39,25.99,136442.0
2312.0,5,11,0.53,530447.0
2745.0,1,44,21.66,449632.0
1724.0,1,25,0.59,370894.0
838.0,5,3,3.5,259328.0
1113.0,1,23,5.51,210528.0
1755.0,1,46,1.83,353533.0
2171.0,1,41,4.85,406751.0
894.0,1,16,4.34,212245.0
1438.0,1,45,10.13,246086.0
1598.0,3,23,3.93,322213.0
1932.0,4,27,5.16,464109.0
1328.0,1,5,3.2,329139.0
718.0,5,59,36.16,120664.0
1811.0,1,50,2.07,334998.0
2062.0,4,11,5.14,449518.0
1459.0,5,33,7.94,371895.0
1703.0,3,46,3.79,344447.0
1263.0,3,30,0.5,280982.0
1077.0,1,12,6.98,275140.0
2013.0,2,58,5.07,379562.0
1694.0,5,16,0.5,459785.0
1745.0,2,20,6.85,322611.0
2251.0,1,22,2.5,458052.0
973.0,4,53,10.6,262652.0
1224.0,4,30,0.5,305561.0
1579.0,1,43,4.57,294501.0
1218.0,1,54,2.62,203961.0
1892.0,1,55,0.5,387038.0
1406.0,1,51,17.34,206073.0
1004.0,4,54,5.15,229648.0
1533.0,1,56,3.68,254222.0
1585.0,4,59,12.56,349370.0
1967.0,1,38,4.87,402983.0
1697.0,5,7,8.6,398203.0
1731.0,4,6,5.09,372565.0
1660.0,2,47,4.47,366215.0
1406.0,3,18,8.84,297988.0
1142.0,1,48,0.5,203010.0
1644.0,1,56,4.97,257232.0
1333.0,3,38,25.43,212175.0
2345.0,1,45,1.14,411296.0
2171.0,4,16,14.07,430225.0
1816.0,2,26,2.18,398238.0
1689.0,1,57,16.97,263175.0
1456.0,3,49,1.37,322677.0
869.0,3,12,3.9,212105.0
1392.0,4,56,7.14,295968.0
1551.0,1,29,31.73,273749.0
1615.0,3,50,2.37,329821.0
1735.0,5,31,11.52,387498.0
1961.0,2,36,3.74,353754.0
1154.0,5,9,13.06,324321.0
1158.0,4,20,8.46,265218.0
2225.0,3,43,0.69,485362.0
1885.0,5,50,6.28,402460.0
1305.0,5,5,1.25,367372.0
1446.0,2,4,2.74,345702.0
1449.0,5,41,6.85,321088.0
1516.0,1,26,1.72,339167.0
1736.0,1,50,21.73,253378.0
2767.0,1,4,4.78,565054.0
1595.0,2,20,6.09,323048.0
1831.0,5,2,6.39,442595.0
657.0,4,42,4.01,171033.0
1258.0,4,51,3.56,286141.0
2114.0,1,9,8.05,387371.0
1701.0,3,19,15.96,344309.0
400.0,2,50,11.12,79731.0
1837.0,3,2,1.65,405603.0
2459.0,2,57,17.88,422024.0
502.0,2,53,9.95,101473.0
2260.0,5,9,17.38,457007.0
400.0,3,8,3.42,147118.0
1969.0,3,41,17.81,338045.0
1496.0,1,0,1.85,387329.0
400.0,4,30,12.98,145551.0
1723.0,3,3,4.93,394794.0
2075.0,2,31,0.5,456578.0
1682.0,4,21,21.48,282026.0
1792.0,1,42,18.29,235225.0
1294.0,3,52,1.88,270734.0
569.0,5,29,2.96,160942.0
1846.0,3,38,11.54,356338.0
2375.0,1,36,11.43,434522.0
2065.0,2,59,10.5,395986.0
506.0,1,13,0.6,115429.0
743.0,3,14,1.8,222044.0
1077.0,2,22,1.05,253468.0
704.0,1,44,5.71,147982.0
1522.0,4,51,0.5,328683.0
1697.0,1,16,1.05,389049.0
785.0,2,6,7.14,192458.0
1889.0,5,36,1.26,476729.0
1801.0,1,35,10.31,310420.0
1226.0,2,22,0.9,298931.0
1414.0,2,11,19.24,266454.0
525.0,3,50,2.08,135088.0
1334.0,2,50,2.37,288783.0
1504.0,5,44,0.5,351485.0
1584.0,1,34,10.99,223460.0
1689.0,5,15,4.99,325557.0
1622.0,3,24,35.45,293244.0
1368.0,1,4,1.06,335589.0
1643.0,1,14,15.37,350643.0
2001.0,1,27,1.64,398230.0
1452.0,2,26,7.83,264796.0
1659.0,2,4,3.02,355833.0
1407.0,4,57,5.44,301606.0
1177.0,2,16,1.14,250392.0
1761.0,4,30,8.52,418703.0
1222.0,2,27,4.23,321722.0
1693.0,2,28,0.5,372810.0
1514.0,2,50,2.66,304290.0
1348.0,2,44,0.5,253572.0
